rank,id,question,importance,affected,existing,gap,data,experiment,metrics,time,difficulty,ethics,failure,success_output,failure_output,feasible,status,importance_score,gap_score,testability_score,feasibility_score,reproducibility_score,reuse_score,novelty_score,growth_score,maintenance_score,total
11,C13,"How often do public sensor datasets omit calibration method, calibration date, or reference-instrument metadata needed for secondary analysis?",Uncalibrated sensor values can be misinterpreted as comparable measurements.,"Environmental researchers, communities, policymakers.","SensorML, SensorThings, domain guidelines.",Standards exist but real dataset adoption and completeness are uneven.,Open low-cost air-quality and environmental sensor datasets.,Score required calibration metadata against a preregistered checklist.,"Field completeness, dataset usability tiers, inter-rater agreement.",4–7 days,Medium-high,Low.,Required metadata differs materially by sensor domain.,Sensor metadata minimum profile and census.,Domain-specific requirement map.,Partially,KNOWN/INFERRED,15,13,12,9,8,10,8,5,3,83
12,C14,Can timezone ambiguity in public environmental time-series data be detected before analysis using timestamps and metadata alone?,Timezone mistakes shift events and corrupt cross-source comparisons.,"Researchers, emergency planners, civic dashboards.","ISO 8601, timezone-aware libraries, schema validators.",Naive timestamps often lack offsets and portal metadata may be inconsistent.,"Public weather, air, and water time-series files.",Create labels from authoritative documentation and test rules.,"Ambiguity prevalence, precision/recall, false alarms, affected-row count.",3–5 days,Medium,Low.,Ground truth is unavailable for ambiguous sources.,Timestamp preflight tool and benchmark.,Ground-truth availability report.,Yes,INFERRED,14,11,13,12,9,9,7,4,4,83
13,C18,Can a benchmark distinguish real credential leakage from illustrative secret-like strings in public example configuration files?,False positives cause alert fatigue while real examples may normalize unsafe secret handling.,Open-source maintainers and users copying examples.,"gitleaks, trufflehog, GitHub secret scanning.",Public benchmarks for documentation/example contexts and realistic placeholders are limited.,Public example configs plus controlled synthetic mutations; no use of live credentials.,"Manually label safe placeholders and injected dummy-secret patterns, compare scanners/rules.","Precision, recall, false-positive classes, scan time.",3–5 days,Medium,Moderate; must avoid collecting or exposing live secrets.,Ethically safe labels cannot establish whether apparent live strings are valid.,Safe benchmark and context-aware rules.,False-positive taxonomy without redistributing sensitive strings.,Yes with strict safeguards,INFERRED,14,11,14,11,9,9,8,4,3,83
14,C16,What fraction of charts in open textbooks provide a text alternative sufficient to recover the chart's main quantitative claim?,Inaccessible charts exclude blind and low-vision learners.,Students with visual disabilities and educators.,"WCAG alt-text guidance, accessibility checkers.",Presence checks do not evaluate whether text alternatives preserve the claim.,Openly licensed HTML textbooks with charts.,Manual claim labels plus automated structural checks on a bounded sample.,"Alt-text presence, claim coverage, inter-rater agreement, false-pass rate.",5–8 days,High,Low; accessibility evaluation needs careful criteria.,Semantic sufficiency is subjective without multiple raters.,Chart accessibility benchmark and rubric.,Rubric reliability results.,Partially,KNOWN/INFERRED,15,14,11,8,7,9,9,5,3,81
15,C07,Do declared dependency constraints in recent research packages uniquely resolve to reproducible environments after six months?,Dependency drift causes delayed reproducibility failures.,Researchers rerunning older analyses and package maintainers.,"Lockfiles, environment.yml, renv, manifests, containers.",Cross-ecosystem longitudinal resolution is difficult and often not monitored.,Historical package manifests and current package indexes.,Resolve archived constraints at two time points or against snapshots.,"Resolution success, version-set divergence, vulnerable/yanked dependency count.",5–10 days,High,Low.,Historical package-index snapshots unavailable or environment builds too costly.,Dependency-drift benchmark.,Snapshot availability report.,Partially,KNOWN/INFERRED,15,13,12,8,7,9,8,5,2,79
16,C11,How often do public-data API schemas change without a machine-readable version or migration notice?,Silent schema drift breaks public-interest analyses and services.,"Civic developers, researchers, journalists, agencies.","OpenAPI, data catalogs, monitoring tools.",Many portals expose no historical schema snapshots.,Repeated snapshots of selected government APIs.,Collect daily schemas and classify additive/breaking changes.,"Drift events, breaking-change rate, notice coverage, downtime.",Weeks-months,Medium,Low.,Longitudinal observation period exceeds current session.,Schema-drift dataset and monitor.,Baseline snapshot registry.,No for credible longitudinal result,UNTESTABLE HERE,15,14,13,3,7,10,8,5,3,78
17,C19,Does adding an evidence ledger to AI coding-agent tasks reduce unsupported completion claims compared with a free-form completion report?,Unsupported agent claims can cause unsafe deployments and wasted review effort.,"Developers, maintainers, organizations using coding agents.","SWE-bench tests, agent traces, CI, attestation frameworks.",Evidence quality for broad repository tasks is not standardized.,Controlled repository tasks executed by one or more coding agents.,Randomize tasks to free-form versus required evidence ledger and blind-score claims.,"Unsupported-claim rate, task correctness, reviewer time, evidence completeness.",7–14 days,High,"Low, but model/API access and variance are material.",No stable access to multiple agent runs or adequate sample size.,Agent evidence protocol and benchmark.,Feasibility and power analysis.,No credible powered study here,UNTESTABLE HERE,15,14,13,3,5,10,10,5,3,78
18,C20,Can a minimal machine-readable research manifest materially reduce missing reproduction inputs in small open-source studies?,"Unspecified commands, hashes, seeds, and outputs obstruct independent reruns.","Researchers, reviewers, maintainers.","RO-Crate, CodeMeta, ReproZip, workflow systems, data packages.",Full standards may be too heavy; the value of a minimal profile needs comparison.,Small reproducible research repositories and synthetic omission cases.,"Compare no manifest, README-only, and minimal manifest on task-completion by scripted checks or users.","Missing-input detection, setup time, manifest completion time, reproducibility score.",5–10 days,High,Low.,"Without multiple independent users, value estimates are weak and circular.",Minimal schema and controlled benchmark.,Schema overlap analysis showing no need for a new profile.,Partially,INFERRED,14,9,11,9,10,10,6,5,4,78
19,C17,How much do common SBOM generators disagree on direct and transitive dependencies for the same small research software projects?,Inconsistent SBOMs weaken vulnerability and supply-chain decisions.,"Maintainers, security teams, downstream users.","Syft, CycloneDX tools, package-manager exports, SPDX.",Cross-tool comparative benchmarks exist unevenly across ecosystems and research packages.,Small open-source packages with lockfiles across Python/JS/Rust.,Generate multiple SBOMs in clean environments and compare component sets.,"Jaccard overlap, missing direct/transitive dependencies, identifier disagreement, runtime.",4–7 days,High,Low.,Installing multiple external tools is blocked or results reflect configuration rather than tool quality.,SBOM disagreement benchmark and normalizer.,Tool-install and comparability report.,Partially,KNOWN/INFERRED,14,11,14,7,8,9,7,5,2,77
20,C09,"How many external links required by research-software installation guides are unavailable, redirected, or content-drifted after publication?",Link rot blocks installation and evidence access.,"Researchers, students, maintainers.","Link checkers, web archives, DOI systems.",Availability checks do not establish whether redirected content still satisfies the documented dependency.,Published research-software READMEs and archived snapshots.,"Check links, compare content fingerprints and manually classify criticality.","Broken/redirected/drifted rate, critical-link failure rate, archive recovery rate.",3–5 days,Medium,Low; rate-limit responsibly.,Content-drift labels become subjective.,Critical-link benchmark and checker.,Link criticality protocol.,Partially,KNOWN/INFERRED,12,10,12,11,8,8,6,4,3,74
